"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 07 22:50:04 GMT 2021","Sat Aug 07 22:50:08 GMT 2021","4088","test_conduit","test_TC1_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"broken","Sat Aug 07 22:50:18 GMT 2021","Sat Aug 07 22:50:26 GMT 2021","7428","test_conduit","test_TC5_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"broken","Sat Aug 07 22:50:14 GMT 2021","Sat Aug 07 22:50:16 GMT 2021","2383","test_conduit","test_TC4_signin","TestConduitApp","","","test_sign_in",""
"passed","Sat Aug 07 22:50:10 GMT 2021","Sat Aug 07 22:50:12 GMT 2021","2646","test_conduit","test_TC2_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
