"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 19:06:16 GMT 2021","Thu Aug 12 19:06:16 GMT 2021","1","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
"passed","Thu Aug 12 19:05:43 GMT 2021","Thu Aug 12 19:05:43 GMT 2021","1","test_conduit","test_TC04_signin","TestConduitApp","","","test_attach_userdata",""
"passed","Thu Aug 12 19:06:17 GMT 2021","Thu Aug 12 19:06:38 GMT 2021","20380","test_conduit","test_TC5_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"passed","Thu Aug 12 19:06:04 GMT 2021","Thu Aug 12 19:06:08 GMT 2021","4059","test_conduit","test_TC1_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"broken","Thu Aug 12 19:05:51 GMT 2021","Thu Aug 12 19:06:02 GMT 2021","11196","test_conduit","test_TC12_logout","TestConduitApp","","","test_log_out",""
"passed","Thu Aug 12 19:05:35 GMT 2021","Thu Aug 12 19:05:41 GMT 2021","5955","test_conduit","test_TC04_signin","TestConduitApp","","","test_sign_in",""
"passed","Thu Aug 12 19:05:43 GMT 2021","Thu Aug 12 19:05:50 GMT 2021","6464","test_conduit","test_TC11_save_article_text_to_file","TestConduitApp","","","test_save_article_text",""
"passed","Thu Aug 12 19:06:10 GMT 2021","Thu Aug 12 19:06:12 GMT 2021","2488","test_conduit","test_TC2_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
"passed","Thu Aug 12 19:06:13 GMT 2021","Thu Aug 12 19:06:14 GMT 2021","1545","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
"passed","Thu Aug 12 19:06:39 GMT 2021","Thu Aug 12 19:06:46 GMT 2021","6428","test_conduit","test_TC7_pagination","TestConduitApp","","","test_pagination",""
