"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 10 14:49:40 GMT 2021","Tue Aug 10 14:49:45 GMT 2021","4896","test_conduit","test_TC7_pagination","TestConduitApp","","","test_pagination",""
"passed","Tue Aug 10 14:49:06 GMT 2021","Tue Aug 10 14:49:10 GMT 2021","4133","test_conduit","test_TC1_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"passed","Tue Aug 10 14:49:12 GMT 2021","Tue Aug 10 14:49:15 GMT 2021","3500","test_conduit","test_TC2_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
"passed","Tue Aug 10 14:49:21 GMT 2021","Tue Aug 10 14:49:21 GMT 2021","1","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
"passed","Tue Aug 10 14:49:22 GMT 2021","Tue Aug 10 14:49:26 GMT 2021","3796","test_conduit","test_TC4_signin","TestConduitApp","","","test_sign_in",""
"broken","Tue Aug 10 14:49:28 GMT 2021","Tue Aug 10 14:49:39 GMT 2021","11160","test_conduit","test_TC5_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"passed","Tue Aug 10 14:49:17 GMT 2021","Tue Aug 10 14:49:19 GMT 2021","2520","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
