"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 22:39:46 GMT 2021","Tue Aug 10 22:39:46 GMT 2021","1","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
"passed","Tue Aug 10 22:39:29 GMT 2021","Tue Aug 10 22:39:33 GMT 2021","3298","test_conduit","test_TC12_logout","TestConduitApp","","","test_log_out",""
"broken","Tue Aug 10 22:39:53 GMT 2021","Tue Aug 10 22:39:53 GMT 2021","14","test_conduit","test_TC7_pagination","TestConduitApp","","","test_pagination",""
"broken","Tue Aug 10 22:39:51 GMT 2021","Tue Aug 10 22:39:51 GMT 2021","15","test_conduit","test_TC5_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"broken","Tue Aug 10 22:39:48 GMT 2021","Tue Aug 10 22:39:49 GMT 2021","1291","test_conduit","test_TC4_signin","TestConduitApp","","","test_sign_in",""
"passed","Tue Aug 10 22:39:34 GMT 2021","Tue Aug 10 22:39:38 GMT 2021","4064","test_conduit","test_TC1_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"passed","Tue Aug 10 22:39:40 GMT 2021","Tue Aug 10 22:39:42 GMT 2021","2470","test_conduit","test_TC2_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
"passed","Tue Aug 10 22:39:49 GMT 2021","Tue Aug 10 22:39:49 GMT 2021","1","test_conduit","test_TC4_signin","TestConduitApp","","","test_attach_userdata",""
"passed","Tue Aug 10 22:39:44 GMT 2021","Tue Aug 10 22:39:45 GMT 2021","1506","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
