"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 09 08:58:33 GMT 2021","Mon Aug 09 08:58:50 GMT 2021","16931","test_conduit","test_TC5_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"passed","Mon Aug 09 08:58:31 GMT 2021","Mon Aug 09 08:58:31 GMT 2021","1","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
"passed","Mon Aug 09 08:58:19 GMT 2021","Mon Aug 09 08:58:23 GMT 2021","4108","test_conduit","test_TC1_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"passed","Mon Aug 09 08:58:25 GMT 2021","Mon Aug 09 08:58:27 GMT 2021","2535","test_conduit","test_TC2_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
"broken","Mon Aug 09 08:58:51 GMT 2021","Mon Aug 09 08:58:51 GMT 2021","0","test_conduit","test_TC7_pagination","TestConduitApp","","","test_pagination",""
"broken","Mon Aug 09 08:58:32 GMT 2021","Mon Aug 09 08:58:32 GMT 2021","1","test_conduit","test_TC4_signin","TestConduitApp","","","test_sign_in",""
"passed","Mon Aug 09 08:58:28 GMT 2021","Mon Aug 09 08:58:31 GMT 2021","3009","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
