"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 22 18:17:30 GMT 2021","Sun Aug 22 18:17:30 GMT 2021","267","test_conduit","test_TC04_signin","TestConduitApp","","","test_attach_userdata",""
"passed","Sun Aug 22 18:17:20 GMT 2021","Sun Aug 22 18:17:28 GMT 2021","7923","test_conduit","test_TC04_signin","TestConduitApp","","","test_sign_in",""
"passed","Sun Aug 22 18:17:03 GMT 2021","Sun Aug 22 18:17:07 GMT 2021","4054","test_conduit","test_TC01_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"passed","Sun Aug 22 18:17:18 GMT 2021","Sun Aug 22 18:17:18 GMT 2021","295","test_conduit","test_TC03_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
"passed","Sun Aug 22 18:19:03 GMT 2021","Sun Aug 22 18:19:10 GMT 2021","7308","test_conduit","test_TC09_modify_user_profile","TestConduitApp","","","test_modify_user_name",""
"passed","Sun Aug 22 18:18:00 GMT 2021","Sun Aug 22 18:18:07 GMT 2021","6416","test_conduit","test_TC07_pagination","TestConduitApp","","","test_pagination",""
"passed","Sun Aug 22 18:18:08 GMT 2021","Sun Aug 22 18:19:01 GMT 2021","52976","test_conduit","test_TC08_upload_post_from_file","TestConduitApp","","","test_create_new_blogposts_from_file",""
"passed","Sun Aug 22 18:17:30 GMT 2021","Sun Aug 22 18:17:51 GMT 2021","20317","test_conduit","test_TC05_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"passed","Sun Aug 22 18:17:13 GMT 2021","Sun Aug 22 18:17:17 GMT 2021","3471","test_conduit","test_TC03_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
"passed","Sun Aug 22 18:17:52 GMT 2021","Sun Aug 22 18:18:00 GMT 2021","7433","test_conduit","test_TC06_listing","TestConduitApp","","","test_list_all_posts_of_testuser2",""
"passed","Sun Aug 22 18:19:23 GMT 2021","Sun Aug 22 18:19:29 GMT 2021","6423","test_conduit","test_TC11_save_article_text_to_file","TestConduitApp","","","test_save_article_text",""
"passed","Sun Aug 22 18:19:30 GMT 2021","Sun Aug 22 18:19:32 GMT 2021","2363","test_conduit","test_TC12_logout","TestConduitApp","","","test_log_out",""
"passed","Sun Aug 22 18:19:11 GMT 2021","Sun Aug 22 18:19:21 GMT 2021","10912","test_conduit","test_TC10_delete_comment","TestConduitApp","","","test_delete_comment",""
"passed","Sun Aug 22 18:17:09 GMT 2021","Sun Aug 22 18:17:12 GMT 2021","2552","test_conduit","test_TC02_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
