"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 23:08:40 GMT 2021","Tue Aug 10 23:09:00 GMT 2021","20288","test_conduit","test_TC5_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"passed","Tue Aug 10 23:08:38 GMT 2021","Tue Aug 10 23:08:38 GMT 2021","1","test_conduit","test_TC4_signin","TestConduitApp","","","test_attach_userdata",""
"passed","Tue Aug 10 23:08:35 GMT 2021","Tue Aug 10 23:08:35 GMT 2021","0","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
"passed","Tue Aug 10 23:08:18 GMT 2021","Tue Aug 10 23:08:21 GMT 2021","2874","test_conduit","test_TC12_logout","TestConduitApp","","","test_log_out",""
"broken","Tue Aug 10 23:08:37 GMT 2021","Tue Aug 10 23:08:38 GMT 2021","919","test_conduit","test_TC4_signin","TestConduitApp","","","test_sign_in",""
"passed","Tue Aug 10 23:08:23 GMT 2021","Tue Aug 10 23:08:27 GMT 2021","4052","test_conduit","test_TC1_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"passed","Tue Aug 10 23:08:32 GMT 2021","Tue Aug 10 23:08:34 GMT 2021","1411","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
"passed","Tue Aug 10 23:08:28 GMT 2021","Tue Aug 10 23:08:31 GMT 2021","2427","test_conduit","test_TC2_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
"passed","Tue Aug 10 23:09:01 GMT 2021","Tue Aug 10 23:09:07 GMT 2021","6428","test_conduit","test_TC7_pagination","TestConduitApp","","","test_pagination",""
