"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 10 18:28:47 GMT 2021","Tue Aug 10 18:28:52 GMT 2021","5310","test_conduit","test_TC7_pagination","TestConduitApp","","","test_pagination",""
"passed","Tue Aug 10 18:28:33 GMT 2021","Tue Aug 10 18:28:35 GMT 2021","1534","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
"passed","Tue Aug 10 18:28:35 GMT 2021","Tue Aug 10 18:28:35 GMT 2021","1","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
"passed","Tue Aug 10 18:28:29 GMT 2021","Tue Aug 10 18:28:32 GMT 2021","2477","test_conduit","test_TC2_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
"passed","Tue Aug 10 18:28:23 GMT 2021","Tue Aug 10 18:28:27 GMT 2021","4060","test_conduit","test_TC1_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"broken","Tue Aug 10 18:28:39 GMT 2021","Tue Aug 10 18:28:45 GMT 2021","6282","test_conduit","test_TC5_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"broken","Tue Aug 10 18:28:19 GMT 2021","Tue Aug 10 18:28:23 GMT 2021","3299","test_conduit","test_TC12_logout","TestConduitApp","","","test_log_out",""
"broken","Tue Aug 10 18:28:37 GMT 2021","Tue Aug 10 18:28:38 GMT 2021","1315","test_conduit","test_TC4_signin","TestConduitApp","","","test_sign_in",""
