"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 15:04:58 GMT 2021","Tue Aug 10 15:05:02 GMT 2021","4016","test_conduit","test_TC4_signin","TestConduitApp","","","test_sign_in",""
"broken","Tue Aug 10 15:05:04 GMT 2021","Tue Aug 10 15:05:15 GMT 2021","11174","test_conduit","test_TC5_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"passed","Tue Aug 10 15:04:57 GMT 2021","Tue Aug 10 15:04:57 GMT 2021","0","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
"broken","Tue Aug 10 15:05:16 GMT 2021","Tue Aug 10 15:05:21 GMT 2021","4942","test_conduit","test_TC7_pagination","TestConduitApp","","","test_pagination",""
"passed","Tue Aug 10 15:04:50 GMT 2021","Tue Aug 10 15:04:53 GMT 2021","2749","test_conduit","test_TC2_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
"passed","Tue Aug 10 15:04:45 GMT 2021","Tue Aug 10 15:04:49 GMT 2021","4095","test_conduit","test_TC1_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"passed","Tue Aug 10 15:04:54 GMT 2021","Tue Aug 10 15:04:57 GMT 2021","2956","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
