"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 22:58:17 GMT 2021","Tue Aug 10 22:58:22 GMT 2021","4059","test_conduit","test_TC1_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"passed","Tue Aug 10 22:58:26 GMT 2021","Tue Aug 10 22:58:28 GMT 2021","1551","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
"broken","Tue Aug 10 22:58:37 GMT 2021","Tue Aug 10 22:58:37 GMT 2021","16","test_conduit","test_TC7_pagination","TestConduitApp","","","test_pagination",""
"broken","Tue Aug 10 22:58:35 GMT 2021","Tue Aug 10 22:58:35 GMT 2021","16","test_conduit","test_TC5_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"passed","Tue Aug 10 22:58:34 GMT 2021","Tue Aug 10 22:58:34 GMT 2021","0","test_conduit","test_TC4_signin","TestConduitApp","","","test_attach_userdata",""
"passed","Tue Aug 10 22:58:30 GMT 2021","Tue Aug 10 22:58:30 GMT 2021","0","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
"passed","Tue Aug 10 22:58:14 GMT 2021","Tue Aug 10 22:58:17 GMT 2021","3200","test_conduit","test_TC12_logout","TestConduitApp","","","test_log_out",""
"passed","Tue Aug 10 22:58:23 GMT 2021","Tue Aug 10 22:58:26 GMT 2021","2490","test_conduit","test_TC2_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
"broken","Tue Aug 10 22:58:30 GMT 2021","Tue Aug 10 22:58:32 GMT 2021","1972","test_conduit","test_TC4_signin","TestConduitApp","","","test_sign_in",""
