"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 10 18:13:36 GMT 2021","Tue Aug 10 18:13:37 GMT 2021","1221","test_conduit","test_TC4_signin","TestConduitApp","","","test_sign_in",""
"passed","Tue Aug 10 18:13:24 GMT 2021","Tue Aug 10 18:13:28 GMT 2021","4051","test_conduit","test_TC1_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"passed","Tue Aug 10 18:13:31 GMT 2021","Tue Aug 10 18:13:33 GMT 2021","1444","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
"broken","Tue Aug 10 18:13:38 GMT 2021","Tue Aug 10 18:13:44 GMT 2021","6264","test_conduit","test_TC5_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"broken","Tue Aug 10 18:13:19 GMT 2021","Tue Aug 10 18:13:22 GMT 2021","2973","test_conduit","test_TC12_logout","TestConduitApp","","","test_log_out",""
"passed","Tue Aug 10 18:13:28 GMT 2021","Tue Aug 10 18:13:31 GMT 2021","2448","test_conduit","test_TC2_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
"broken","Tue Aug 10 18:13:46 GMT 2021","Tue Aug 10 18:13:51 GMT 2021","5236","test_conduit","test_TC7_pagination","TestConduitApp","","","test_pagination",""
"passed","Tue Aug 10 18:13:34 GMT 2021","Tue Aug 10 18:13:34 GMT 2021","1","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
