"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 18:21:29 GMT 2021","Tue Aug 10 18:21:31 GMT 2021","2467","test_conduit","test_TC2_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
"broken","Tue Aug 10 18:21:45 GMT 2021","Tue Aug 10 18:21:51 GMT 2021","5301","test_conduit","test_TC7_pagination","TestConduitApp","","","test_pagination",""
"broken","Tue Aug 10 18:21:35 GMT 2021","Tue Aug 10 18:21:37 GMT 2021","1329","test_conduit","test_TC4_signin","TestConduitApp","","","test_sign_in",""
"passed","Tue Aug 10 18:21:32 GMT 2021","Tue Aug 10 18:21:33 GMT 2021","1546","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
"passed","Tue Aug 10 18:21:35 GMT 2021","Tue Aug 10 18:21:35 GMT 2021","1","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
"broken","Tue Aug 10 18:21:38 GMT 2021","Tue Aug 10 18:21:45 GMT 2021","6320","test_conduit","test_TC5_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"broken","Tue Aug 10 18:21:19 GMT 2021","Tue Aug 10 18:21:22 GMT 2021","3249","test_conduit","test_TC12_logout","TestConduitApp","","","test_log_out",""
"passed","Tue Aug 10 18:21:24 GMT 2021","Tue Aug 10 18:21:28 GMT 2021","4057","test_conduit","test_TC1_accept_cookies","TestConduitApp","","","test_accept_cookies",""
