"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 12:58:27 GMT 2021","Tue Aug 10 12:58:27 GMT 2021","0","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
"broken","Tue Aug 10 12:58:35 GMT 2021","Tue Aug 10 12:58:39 GMT 2021","4916","test_conduit","test_TC5_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"passed","Tue Aug 10 12:58:29 GMT 2021","Tue Aug 10 12:58:33 GMT 2021","3956","test_conduit","test_TC4_signin","TestConduitApp","","","test_sign_in",""
"passed","Tue Aug 10 12:58:23 GMT 2021","Tue Aug 10 12:58:26 GMT 2021","2521","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
"passed","Tue Aug 10 12:58:13 GMT 2021","Tue Aug 10 12:58:17 GMT 2021","4135","test_conduit","test_TC1_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"broken","Tue Aug 10 12:58:41 GMT 2021","Tue Aug 10 12:58:43 GMT 2021","1958","test_conduit","test_TC7_pagination","TestConduitApp","","","test_pagination",""
"passed","Tue Aug 10 12:58:18 GMT 2021","Tue Aug 10 12:58:22 GMT 2021","3462","test_conduit","test_TC2_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
