"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 13:54:31 GMT 2021","Tue Aug 10 13:54:33 GMT 2021","2406","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
"passed","Tue Aug 10 13:54:34 GMT 2021","Tue Aug 10 13:54:34 GMT 2021","0","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
"broken","Tue Aug 10 13:54:54 GMT 2021","Tue Aug 10 13:54:56 GMT 2021","2915","test_conduit","test_TC7_pagination","TestConduitApp","","","test_pagination",""
"broken","Tue Aug 10 13:54:35 GMT 2021","Tue Aug 10 13:54:39 GMT 2021","3871","test_conduit","test_TC4_signin","TestConduitApp","","","test_sign_in",""
"passed","Tue Aug 10 13:54:21 GMT 2021","Tue Aug 10 13:54:25 GMT 2021","4075","test_conduit","test_TC1_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"broken","Tue Aug 10 13:54:41 GMT 2021","Tue Aug 10 13:54:52 GMT 2021","11130","test_conduit","test_TC5_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"passed","Tue Aug 10 13:54:27 GMT 2021","Tue Aug 10 13:54:29 GMT 2021","2554","test_conduit","test_TC2_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
