"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 22:40:49 GMT 2021","Tue Aug 10 22:40:49 GMT 2021","1","test_conduit","test_TC4_signin","TestConduitApp","","","test_attach_userdata",""
"broken","Tue Aug 10 22:40:50 GMT 2021","Tue Aug 10 22:40:56 GMT 2021","6143","test_conduit","test_TC5_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"passed","Tue Aug 10 22:40:35 GMT 2021","Tue Aug 10 22:40:39 GMT 2021","4048","test_conduit","test_TC1_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"passed","Tue Aug 10 22:40:40 GMT 2021","Tue Aug 10 22:40:42 GMT 2021","2399","test_conduit","test_TC2_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
"passed","Tue Aug 10 22:40:32 GMT 2021","Tue Aug 10 22:40:35 GMT 2021","2797","test_conduit","test_TC12_logout","TestConduitApp","","","test_log_out",""
"passed","Tue Aug 10 22:40:45 GMT 2021","Tue Aug 10 22:40:45 GMT 2021","1","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
"broken","Tue Aug 10 22:40:45 GMT 2021","Tue Aug 10 22:40:47 GMT 2021","1939","test_conduit","test_TC4_signin","TestConduitApp","","","test_sign_in",""
"broken","Tue Aug 10 22:40:58 GMT 2021","Tue Aug 10 22:41:03 GMT 2021","5144","test_conduit","test_TC7_pagination","TestConduitApp","","","test_pagination",""
"passed","Tue Aug 10 22:40:43 GMT 2021","Tue Aug 10 22:40:44 GMT 2021","1355","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
