"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 10:10:16 GMT 2021","Fri Aug 13 10:10:36 GMT 2021","20181","test_conduit","test_TC05_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"passed","Fri Aug 13 10:10:52 GMT 2021","Fri Aug 13 10:11:45 GMT 2021","52684","test_conduit","test_TC08_upload_post_from_file","TestConduitApp","","","test_create_new_blogposts_from_file",""
"passed","Fri Aug 13 10:10:01 GMT 2021","Fri Aug 13 10:10:04 GMT 2021","2793","test_conduit","test_TC02_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
"passed","Fri Aug 13 10:10:10 GMT 2021","Fri Aug 13 10:10:14 GMT 2021","4033","test_conduit","test_TC04_signin","TestConduitApp","","","test_sign_in",""
"passed","Fri Aug 13 10:10:14 GMT 2021","Fri Aug 13 10:10:14 GMT 2021","266","test_conduit","test_TC04_signin","TestConduitApp","","","test_attach_userdata",""
"passed","Fri Aug 13 10:10:45 GMT 2021","Fri Aug 13 10:10:51 GMT 2021","6365","test_conduit","test_TC07_pagination","TestConduitApp","","","test_pagination",""
"passed","Fri Aug 13 10:11:47 GMT 2021","Fri Aug 13 10:11:53 GMT 2021","6406","test_conduit","test_TC11_save_article_text_to_file","TestConduitApp","","","test_save_article_text",""
"passed","Fri Aug 13 10:11:54 GMT 2021","Fri Aug 13 10:11:56 GMT 2021","2345","test_conduit","test_TC12_logout","TestConduitApp","","","test_log_out",""
"passed","Fri Aug 13 10:10:05 GMT 2021","Fri Aug 13 10:10:08 GMT 2021","3400","test_conduit","test_TC03_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
"passed","Fri Aug 13 10:09:56 GMT 2021","Fri Aug 13 10:10:00 GMT 2021","4118","test_conduit","test_TC01_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"passed","Fri Aug 13 10:10:09 GMT 2021","Fri Aug 13 10:10:09 GMT 2021","266","test_conduit","test_TC03_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
"passed","Fri Aug 13 10:10:37 GMT 2021","Fri Aug 13 10:10:44 GMT 2021","7377","test_conduit","test_TC06_listing","TestConduitApp","","","test_list_all_posts_of_testuser2",""
