"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 07 16:22:08 GMT 2021","Sat Aug 07 16:22:12 GMT 2021","4067","test_conduit","test_TC1_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"passed","Sat Aug 07 16:22:13 GMT 2021","Sat Aug 07 16:22:15 GMT 2021","2536","test_conduit","test_TC2_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
"broken","Sat Aug 07 16:22:20 GMT 2021","Sat Aug 07 16:22:20 GMT 2021","0","test_conduit","test_TC5_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"broken","Sat Aug 07 16:22:17 GMT 2021","Sat Aug 07 16:22:20 GMT 2021","2659","test_conduit","test_TC4_signin","TestConduitApp","","","test_sign_in",""
