"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Aug 07 15:53:14 GMT 2021","Sat Aug 07 15:53:17 GMT 2021","2399","test_conduit","test_TC4_signin","TestConduitApp","","","test_sign_in",""
"passed","Sat Aug 07 15:53:10 GMT 2021","Sat Aug 07 15:53:13 GMT 2021","2753","test_conduit","test_TC2_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
"passed","Sat Aug 07 15:53:04 GMT 2021","Sat Aug 07 15:53:08 GMT 2021","4371","test_conduit","test_TC1_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"broken","Sat Aug 07 15:53:18 GMT 2021","Sat Aug 07 15:53:18 GMT 2021","0","test_conduit","test_TC5_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
