"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 10 17:41:07 GMT 2021","Tue Aug 10 17:41:19 GMT 2021","11484","test_conduit","test_TC5_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"passed","Tue Aug 10 17:40:55 GMT 2021","Tue Aug 10 17:40:58 GMT 2021","2709","test_conduit","test_TC2_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
"passed","Tue Aug 10 17:40:49 GMT 2021","Tue Aug 10 17:40:53 GMT 2021","4089","test_conduit","test_TC1_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"passed","Tue Aug 10 17:40:58 GMT 2021","Tue Aug 10 17:41:01 GMT 2021","2621","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
"broken","Tue Aug 10 17:41:21 GMT 2021","Tue Aug 10 17:41:26 GMT 2021","5254","test_conduit","test_TC7_pagination","TestConduitApp","","","test_pagination",""
"passed","Tue Aug 10 17:41:02 GMT 2021","Tue Aug 10 17:41:06 GMT 2021","3993","test_conduit","test_TC4_signin","TestConduitApp","","","test_sign_in",""
"passed","Tue Aug 10 17:41:01 GMT 2021","Tue Aug 10 17:41:01 GMT 2021","1","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
