"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Aug 07 18:26:51 GMT 2021","Sat Aug 07 18:26:59 GMT 2021","8446","test_conduit","test_TC5_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"broken","Sat Aug 07 18:26:46 GMT 2021","Sat Aug 07 18:26:49 GMT 2021","2539","test_conduit","test_TC4_signin","TestConduitApp","","","test_sign_in",""
"passed","Sat Aug 07 18:26:38 GMT 2021","Sat Aug 07 18:26:42 GMT 2021","4102","test_conduit","test_TC1_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"passed","Sat Aug 07 18:26:43 GMT 2021","Sat Aug 07 18:26:46 GMT 2021","2959","test_conduit","test_TC2_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
