"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 18:16:13 GMT 2021","Tue Aug 10 18:16:15 GMT 2021","1617","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
"broken","Tue Aug 10 18:16:17 GMT 2021","Tue Aug 10 18:16:18 GMT 2021","1315","test_conduit","test_TC4_signin","TestConduitApp","","","test_sign_in",""
"broken","Tue Aug 10 18:16:01 GMT 2021","Tue Aug 10 18:16:04 GMT 2021","2899","test_conduit","test_TC12_logout","TestConduitApp","","","test_log_out",""
"passed","Tue Aug 10 18:16:04 GMT 2021","Tue Aug 10 18:16:08 GMT 2021","4054","test_conduit","test_TC1_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"passed","Tue Aug 10 18:16:09 GMT 2021","Tue Aug 10 18:16:11 GMT 2021","2431","test_conduit","test_TC2_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
"passed","Tue Aug 10 18:16:16 GMT 2021","Tue Aug 10 18:16:16 GMT 2021","0","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
"broken","Tue Aug 10 18:16:20 GMT 2021","Tue Aug 10 18:16:26 GMT 2021","6310","test_conduit","test_TC5_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"broken","Tue Aug 10 18:16:28 GMT 2021","Tue Aug 10 18:16:33 GMT 2021","5263","test_conduit","test_TC7_pagination","TestConduitApp","","","test_pagination",""
