"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 12:38:31 GMT 2021","Tue Aug 10 12:38:31 GMT 2021","1","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
"passed","Tue Aug 10 12:38:27 GMT 2021","Tue Aug 10 12:38:30 GMT 2021","2966","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
"passed","Tue Aug 10 12:38:32 GMT 2021","Tue Aug 10 12:38:36 GMT 2021","4201","test_conduit","test_TC4_signin","TestConduitApp","","","test_sign_in",""
"passed","Tue Aug 10 12:38:18 GMT 2021","Tue Aug 10 12:38:22 GMT 2021","4167","test_conduit","test_TC1_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"passed","Tue Aug 10 12:38:23 GMT 2021","Tue Aug 10 12:38:26 GMT 2021","3471","test_conduit","test_TC2_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
"broken","Tue Aug 10 12:38:36 GMT 2021","Tue Aug 10 12:38:36 GMT 2021","0","test_conduit","test_TC5_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"broken","Tue Aug 10 12:38:42 GMT 2021","Tue Aug 10 12:38:44 GMT 2021","1962","test_conduit","test_TC7_pagination","TestConduitApp","","","test_pagination",""
