"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 10 18:28:11 GMT 2021","Tue Aug 10 18:28:17 GMT 2021","6268","test_conduit","test_TC5_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"passed","Tue Aug 10 18:28:08 GMT 2021","Tue Aug 10 18:28:08 GMT 2021","1","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
"passed","Tue Aug 10 18:27:56 GMT 2021","Tue Aug 10 18:28:00 GMT 2021","4071","test_conduit","test_TC1_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"passed","Tue Aug 10 18:28:02 GMT 2021","Tue Aug 10 18:28:04 GMT 2021","2489","test_conduit","test_TC2_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
"passed","Tue Aug 10 18:28:06 GMT 2021","Tue Aug 10 18:28:07 GMT 2021","1571","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
"broken","Tue Aug 10 18:28:19 GMT 2021","Tue Aug 10 18:28:21 GMT 2021","1967","test_conduit","test_TC7_pagination","TestConduitApp","","","test_pagination",""
"broken","Tue Aug 10 18:27:51 GMT 2021","Tue Aug 10 18:27:54 GMT 2021","3435","test_conduit","test_TC12_logout","TestConduitApp","","","test_log_out",""
"broken","Tue Aug 10 18:28:08 GMT 2021","Tue Aug 10 18:28:11 GMT 2021","2090","test_conduit","test_TC4_signin","TestConduitApp","","","test_sign_in",""
