"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 18:21:13 GMT 2021","Thu Aug 12 18:21:15 GMT 2021","1529","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
"passed","Thu Aug 12 18:21:01 GMT 2021","Thu Aug 12 18:21:04 GMT 2021","3264","test_conduit","test_TC12_logout","TestConduitApp","","","test_log_out",""
"passed","Thu Aug 12 18:21:10 GMT 2021","Thu Aug 12 18:21:13 GMT 2021","2453","test_conduit","test_TC2_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
"broken","Thu Aug 12 18:21:16 GMT 2021","Thu Aug 12 18:21:17 GMT 2021","963","test_conduit","test_TC4_signin","TestConduitApp","","","test_sign_in",""
"passed","Thu Aug 12 18:21:16 GMT 2021","Thu Aug 12 18:21:16 GMT 2021","0","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
"passed","Thu Aug 12 18:21:06 GMT 2021","Thu Aug 12 18:21:10 GMT 2021","4053","test_conduit","test_TC1_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"passed","Thu Aug 12 18:21:19 GMT 2021","Thu Aug 12 18:21:19 GMT 2021","1","test_conduit","test_TC4_signin","TestConduitApp","","","test_attach_userdata",""
"passed","Thu Aug 12 18:21:20 GMT 2021","Thu Aug 12 18:21:41 GMT 2021","20433","test_conduit","test_TC5_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"passed","Thu Aug 12 18:21:42 GMT 2021","Thu Aug 12 18:21:49 GMT 2021","6403","test_conduit","test_TC7_pagination","TestConduitApp","","","test_pagination",""
"broken","Thu Aug 12 18:20:55 GMT 2021","Thu Aug 12 18:20:59 GMT 2021","4525","test_conduit","test_TC11_save_article_text_to_file","TestConduitApp","","","test_save_article_text",""
