"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 09 07:12:35 GMT 2021","Mon Aug 09 07:12:37 GMT 2021","2463","test_conduit","test_TC2_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
"broken","Mon Aug 09 07:12:57 GMT 2021","Mon Aug 09 07:12:59 GMT 2021","1998","test_conduit","test_TC5_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"passed","Mon Aug 09 07:12:39 GMT 2021","Mon Aug 09 07:12:42 GMT 2021","2951","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
"passed","Mon Aug 09 07:12:29 GMT 2021","Mon Aug 09 07:12:33 GMT 2021","4058","test_conduit","test_TC1_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"passed","Mon Aug 09 07:12:43 GMT 2021","Mon Aug 09 07:12:43 GMT 2021","0","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
"broken","Mon Aug 09 07:12:44 GMT 2021","Mon Aug 09 07:12:56 GMT 2021","12170","test_conduit","test_TC4_signin","TestConduitApp","","","test_sign_in",""
"broken","Mon Aug 09 07:13:00 GMT 2021","Mon Aug 09 07:13:03 GMT 2021","2978","test_conduit","test_TC7_pagination","TestConduitApp","","","test_pagination",""
