"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 10 15:14:36 GMT 2021","Tue Aug 10 15:14:47 GMT 2021","11523","test_conduit","test_TC5_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"passed","Tue Aug 10 15:14:30 GMT 2021","Tue Aug 10 15:14:34 GMT 2021","4285","test_conduit","test_TC4_signin","TestConduitApp","","","test_sign_in",""
"passed","Tue Aug 10 15:14:20 GMT 2021","Tue Aug 10 15:14:23 GMT 2021","2475","test_conduit","test_TC2_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
"broken","Tue Aug 10 15:14:49 GMT 2021","Tue Aug 10 15:14:54 GMT 2021","5295","test_conduit","test_TC7_pagination","TestConduitApp","","","test_pagination",""
"passed","Tue Aug 10 15:14:16 GMT 2021","Tue Aug 10 15:14:20 GMT 2021","4059","test_conduit","test_TC1_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"passed","Tue Aug 10 15:14:24 GMT 2021","Tue Aug 10 15:14:27 GMT 2021","3037","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
"passed","Tue Aug 10 15:14:28 GMT 2021","Tue Aug 10 15:14:28 GMT 2021","1","test_conduit","test_TC3_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
