"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 07:51:26 GMT 2021","Fri Aug 13 07:51:30 GMT 2021","4104","test_conduit","test_TC01_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"passed","Fri Aug 13 07:51:49 GMT 2021","Fri Aug 13 07:52:10 GMT 2021","20684","test_conduit","test_TC05_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"passed","Fri Aug 13 07:52:42 GMT 2021","Fri Aug 13 07:52:44 GMT 2021","2451","test_conduit","test_TC12_logout","TestConduitApp","","","test_log_out",""
"passed","Fri Aug 13 07:51:47 GMT 2021","Fri Aug 13 07:51:47 GMT 2021","330","test_conduit","test_TC04_signin","TestConduitApp","","","test_attach_userdata",""
"failed","Fri Aug 13 07:52:11 GMT 2021","Fri Aug 13 07:52:19 GMT 2021","7692","test_conduit","test_TC06_listing","TestConduitApp","","","test_list_all_posts_of_testuser2",""
"passed","Fri Aug 13 07:52:34 GMT 2021","Fri Aug 13 07:52:40 GMT 2021","6532","test_conduit","test_TC11_save_article_text_to_file","TestConduitApp","","","test_save_article_text",""
"passed","Fri Aug 13 07:51:35 GMT 2021","Fri Aug 13 07:51:38 GMT 2021","3561","test_conduit","test_TC03_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
"passed","Fri Aug 13 07:51:30 GMT 2021","Fri Aug 13 07:51:33 GMT 2021","2913","test_conduit","test_TC02_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
"passed","Fri Aug 13 07:51:41 GMT 2021","Fri Aug 13 07:51:45 GMT 2021","4313","test_conduit","test_TC04_signin","TestConduitApp","","","test_sign_in",""
"passed","Fri Aug 13 07:51:40 GMT 2021","Fri Aug 13 07:51:40 GMT 2021","327","test_conduit","test_TC03_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
"passed","Fri Aug 13 07:52:20 GMT 2021","Fri Aug 13 07:52:26 GMT 2021","6465","test_conduit","test_TC07_pagination","TestConduitApp","","","test_pagination",""
"broken","Fri Aug 13 07:52:28 GMT 2021","Fri Aug 13 07:52:32 GMT 2021","4053","test_conduit","test_TC08_upload_post_from_file","TestConduitApp","","","test_create_new_blogposts_from_file",""
