"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 07:33:58 GMT 2021","Fri Aug 13 07:34:04 GMT 2021","6323","test_conduit","test_TC07_pagination","TestConduitApp","","","test_pagination",""
"broken","Fri Aug 13 07:34:06 GMT 2021","Fri Aug 13 07:34:20 GMT 2021","14231","test_conduit","test_TC08_upload_post_from_file","TestConduitApp","","","test_create_new_blogposts_from_file",""
"passed","Fri Aug 13 07:33:25 GMT 2021","Fri Aug 13 07:33:29 GMT 2021","4060","test_conduit","test_TC01_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"passed","Fri Aug 13 07:33:37 GMT 2021","Fri Aug 13 07:33:38 GMT 2021","348","test_conduit","test_TC03_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
"broken","Fri Aug 13 07:33:52 GMT 2021","Fri Aug 13 07:33:56 GMT 2021","4349","test_conduit","test_TC06_listing","TestConduitApp","","","test_list_all_posts_of_testuser2",""
"passed","Fri Aug 13 07:34:21 GMT 2021","Fri Aug 13 07:34:28 GMT 2021","6475","test_conduit","test_TC11_save_article_text_to_file","TestConduitApp","","","test_save_article_text",""
"broken","Fri Aug 13 07:33:39 GMT 2021","Fri Aug 13 07:33:39 GMT 2021","0","test_conduit","test_TC04_signin","TestConduitApp","","","test_attach_userdata",""
"passed","Fri Aug 13 07:34:29 GMT 2021","Fri Aug 13 07:34:32 GMT 2021","2429","test_conduit","test_TC12_logout","TestConduitApp","","","test_log_out",""
"broken","Fri Aug 13 07:33:43 GMT 2021","Fri Aug 13 07:33:50 GMT 2021","7318","test_conduit","test_TC05_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
"passed","Fri Aug 13 07:33:29 GMT 2021","Fri Aug 13 07:33:32 GMT 2021","2497","test_conduit","test_TC02_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
"passed","Fri Aug 13 07:33:32 GMT 2021","Fri Aug 13 07:33:36 GMT 2021","3471","test_conduit","test_TC03_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
"broken","Fri Aug 13 07:33:38 GMT 2021","Fri Aug 13 07:33:38 GMT 2021","0","test_conduit","test_TC04_signin","TestConduitApp","","","test_sign_in",""
